Value/ Valeur,Classification,"RGB
values/valeurs RVB"
1,Temperate or sub-polar needleleaf forest/Forêt de conifères sempervirente tempérée ou subpolaire,0; 61; 0
2,Sub-polar taiga needleleaf forest/ Forêt de conifères (taïga) subpolaire,148; 156; 112
5,Temperate or sub-polar broadleaf deciduous forest/ Forêt feuillue tempérée ou subpolaire,20; 140; 61
6,Mixed forest/ Forêt mixte,92; 117; 43
8,Temperate or sub-polar shrubland/Arbustaie tempérée ou subpolaire,179; 138; 51
10,Temperate or sub-polar grassland/Prairie tempérée ou subpolaire,224; 207; 138
11,"Sub-polar or polar shrubland-lichen-moss/Arbustaie à lichens et à
mousses polaire ou subpolaire",156; 117; 84
12,Sub-polar or polar grassland-lichen-moss/Prairie à lichens et à mousses polaire ou subpolaire,186; 212; 143
13,"Sub-polar or polar barren-lichen-moss/Lande à lichens et à mousses
polaire ou subpolaire",64; 138; 115
14,Wetland/Milieu humide,107; 163; 138
15,Cropland/Terre cultivée,230; 173; 102
16,Barren Lands/Lande,168; 171; 174
17,Urban and built-up/Milieu urbain,220; 33; 38
18,Water/Eau,76; 112; 163
19,Snow and Ice/Neige et glace,255; 250; 255
